player,own_15_ball_phase,phase_label,runs,balls,known_control_balls,controlled_balls,uncontrolled_balls,boundaries,dots,strike_rate,control_pct,false_shot_pct,boundary_pct,dot_pct
Abdul Samad,1,1-15,49,48,48,38,10,5,20,102.08,79.17,20.83,10.42,41.67
Abdul Samad,2,16-30,23,17,17,12,5,3,6,135.29,70.59,29.41,17.65,35.29
Abhishek Sharma,1,1-15,276,124,124,93,31,50,43,222.58,75.0,25.0,40.32,34.68
Abhishek Sharma,2,16-30,124,64,64,56,8,18,17,193.75,87.5,12.5,28.12,26.56
Abhishek Sharma,3,31-45,32,15,15,12,3,5,4,213.33,80.0,20.0,33.33,26.67
Abhishek Sharma,4,46-60,35,15,15,12,3,5,3,233.33,80.0,20.0,33.33,20.0
Abhishek Sharma,5,61-75,8,8,8,6,2,1,3,100.0,75.0,25.0,12.5,37.5
Abishek Porel,1,1-15,21,21,21,16,5,3,10,100.0,76.19,23.81,14.29,47.62
Abishek Porel,2,16-30,10,15,15,11,4,0,6,66.67,73.33,26.67,0.0,40.0
Abishek Porel,3,31-45,4,3,3,1,2,1,2,133.33,33.33,66.67,33.33,66.67
Aiden Markram,1,1-15,158,120,118,101,17,20,42,131.67,85.59,14.41,16.67,35.0
Aiden Markram,2,16-30,73,47,47,33,14,11,14,155.32,70.21,29.79,23.4,29.79
Ajinkya Rahane,1,1-15,134,103,103,82,21,17,40,130.1,79.61,20.39,16.5,38.83
Ajinkya Rahane,2,16-30,70,46,46,36,10,7,7,152.17,78.26,21.74,15.22,15.22
Ajinkya Rahane,3,31-45,14,16,16,11,5,1,7,87.5,68.75,31.25,6.25,43.75
Akeal Hosein,1,1-15,2,2,2,2,0,0,0,100.0,100.0,0.0,0.0,0.0
Akshat Raghuwanshi,1,1-15,28,22,22,19,3,2,5,127.27,86.36,13.64,9.09,22.73
Akshat Raghuwanshi,2,16-30,1,3,3,1,2,0,2,33.33,33.33,66.67,0.0,66.67
Angkrish Raghuvanshi,1,1-15,151,112,112,91,21,22,45,134.82,81.25,18.75,19.64,40.18
Angkrish Raghuvanshi,2,16-30,98,66,66,53,13,14,23,148.48,80.3,19.7,21.21,34.85
Angkrish Raghuvanshi,3,31-45,19,18,18,14,4,2,5,105.56,77.78,22.22,11.11,27.78
Angkrish Raghuvanshi,4,46-60,1,2,2,1,1,0,1,50.0,50.0,50.0,0.0,50.0
Aniket Verma,1,1-15,73,51,51,34,17,10,18,143.14,66.67,33.33,19.61,35.29
Aniket Verma,2,16-30,6,3,3,1,2,1,2,200.0,33.33,66.67,33.33,66.67
Anrich Nortje,1,1-15,0,1,1,0,1,0,1,0.0,0.0,100.0,0.0,100.0
Anshul Kamboj,1,1-15,39,30,30,15,15,4,8,130.0,50.0,50.0,13.33,26.67
Anukul Roy,1,1-15,37,26,26,18,8,4,8,142.31,69.23,30.77,15.38,30.77
Anukul Roy,2,16-30,2,1,1,0,1,0,0,200.0,0.0,100.0,0.0,0.0
Arshad Khan,1,1-15,8,5,5,4,1,1,1,160.0,80.0,20.0,20.0,20.0
Arshdeep Singh,1,1-15,1,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0
Arshin Kulkarni,1,1-15,13,15,15,10,5,1,8,86.67,66.67,33.33,6.67,53.33
Arshin Kulkarni,2,16-30,4,9,9,6,3,0,5,44.44,66.67,33.33,0.0,55.56
Ashok Sharma,1,1-15,1,4,4,2,2,0,3,25.0,50.0,50.0,0.0,75.0
Ashutosh Sharma,1,1-15,101,65,65,43,22,15,25,155.38,66.15,33.85,23.08,38.46
Ashutosh Sharma,2,16-30,34,13,13,10,3,6,3,261.54,76.92,23.08,46.15,23.08
Ashwani Kumar,1,1-15,1,6,6,4,2,0,5,16.67,66.67,33.33,0.0,83.33
Auqib Nabi,1,1-15,14,4,4,3,1,3,1,350.0,75.0,25.0,75.0,25.0
Avesh Khan,1,1-15,6,6,6,3,3,1,3,100.0,50.0,50.0,16.67,50.0
Axar Patel,1,1-15,67,63,63,38,25,9,27,106.35,60.32,39.68,14.29,42.86
Axar Patel,2,16-30,33,26,26,20,6,4,8,126.92,76.92,23.08,15.38,30.77
Ayush Badoni,1,1-15,120,84,84,68,16,16,28,142.86,80.95,19.05,19.05,33.33
Ayush Badoni,2,16-30,46,34,34,27,7,7,12,135.29,79.41,20.59,20.59,35.29
Ayush Badoni,3,31-45,6,4,4,2,2,1,3,150.0,50.0,50.0,25.0,75.0
Ayush Mhatre,1,1-15,116,62,62,42,20,21,23,187.1,67.74,32.26,33.87,37.1
Ayush Mhatre,2,16-30,65,32,32,24,8,9,9,203.12,75.0,25.0,28.12,28.12
Ayush Mhatre,3,31-45,20,19,19,10,9,2,6,105.26,52.63,47.37,10.53,31.58
Bhuvneshwar Kumar,1,1-15,34,26,26,25,1,4,10,130.77,96.15,3.85,15.38,38.46
Brijesh Sharma,1,1-15,2,4,4,3,1,0,2,50.0,75.0,25.0,0.0,50.0
Cameron Green,1,1-15,116,91,91,74,17,13,31,127.47,81.32,18.68,14.29,34.07
Cameron Green,2,16-30,70,42,42,27,15,8,10,166.67,64.29,35.71,19.05,23.81
Cameron Green,3,31-45,43,15,15,13,2,7,1,286.67,86.67,13.33,46.67,6.67
Cameron Green,4,46-60,3,10,10,3,7,0,7,30.0,30.0,70.0,0.0,70.0
Cooper Connolly,1,1-15,169,124,123,83,40,26,54,136.29,67.48,32.52,20.97,43.55
Cooper Connolly,2,16-30,112,64,64,49,15,16,19,175.0,76.56,23.44,25.0,29.69
Cooper Connolly,3,31-45,90,44,44,29,15,13,9,204.55,65.91,34.09,29.55,20.45
Cooper Connolly,4,46-60,44,15,15,6,9,7,2,293.33,40.0,60.0,46.67,13.33
Corbin Bosch,1,1-15,16,9,9,7,2,2,1,177.78,77.78,22.22,22.22,11.11
Danish Malewar,1,1-15,2,5,5,0,5,0,3,40.0,0.0,100.0,0.0,60.0
Dasun Shanaka,1,1-15,16,11,11,8,3,2,3,145.45,72.73,27.27,18.18,27.27
David Miller,1,1-15,124,88,88,73,15,17,29,140.91,82.95,17.05,19.32,32.95
David Miller,2,16-30,50,24,24,16,8,8,8,208.33,66.67,33.33,33.33,33.33
David Payne,1,1-15,6,5,5,4,1,0,1,120.0,80.0,20.0,0.0,20.0
Deepak Chahar,1,1-15,7,7,7,2,5,1,3,100.0,28.57,71.43,14.29,42.86
Devdutt Padikkal,1,1-15,223,130,129,97,32,35,42,171.54,75.19,24.81,26.92,32.31
Devdutt Padikkal,2,16-30,105,56,56,39,17,16,15,187.5,69.64,30.36,28.57,26.79
Dewald Brevis,1,1-15,50,51,51,35,16,5,24,98.04,68.63,31.37,9.8,47.06
Dewald Brevis,2,16-30,24,14,14,10,4,5,7,171.43,71.43,28.57,35.71,50.0
Dhruv Jurel,1,1-15,158,107,106,85,21,25,40,147.66,80.19,19.81,23.36,37.38
Dhruv Jurel,2,16-30,102,65,65,52,13,13,16,156.92,80.0,20.0,20.0,24.62
Dhruv Jurel,3,31-45,54,30,30,26,4,6,5,180.0,86.67,13.33,20.0,16.67
Digvesh Rathi,1,1-15,2,5,4,0,4,0,3,40.0,0.0,100.0,0.0,60.0
Donovan Ferreira,1,1-15,150,86,86,60,26,24,33,174.42,69.77,30.23,27.91,38.37
Donovan Ferreira,2,16-30,61,31,31,22,9,10,9,196.77,70.97,29.03,32.26,29.03
Donovan Ferreira,3,31-45,22,14,14,7,7,4,7,157.14,50.0,50.0,28.57,50.0
Dushmantha Chameera,1,1-15,0,3,3,3,0,0,3,0.0,100.0,0.0,0.0,100.0
Eshan Malinga,1,1-15,2,6,6,3,3,0,4,33.33,50.0,50.0,0.0,66.67
Finn Allen,1,1-15,128,68,68,46,22,25,28,188.24,67.65,32.35,36.76,41.18
Finn Allen,2,16-30,26,17,17,14,3,4,7,152.94,82.35,17.65,23.53,41.18
Finn Allen,3,31-45,50,15,15,12,3,7,1,333.33,80.0,20.0,46.67,6.67
Finn Allen,4,46-60,6,2,2,1,1,1,1,300.0,50.0,50.0,50.0,50.0
George Linde,1,1-15,31,21,21,12,9,6,10,147.62,57.14,42.86,28.57,47.62
Glenn Phillips,1,1-15,65,51,51,44,7,6,12,127.45,86.27,13.73,11.76,23.53
Glenn Phillips,2,16-30,2,3,3,1,2,0,2,66.67,33.33,66.67,0.0,66.67
Hardik Pandya,1,1-15,126,91,91,56,35,17,29,138.46,61.54,38.46,18.68,31.87
Hardik Pandya,2,16-30,20,16,16,8,8,3,7,125.0,50.0,50.0,18.75,43.75
Harsh Dubey,1,1-15,13,9,9,5,4,2,3,144.44,55.56,44.44,22.22,33.33
Harshal Patel,1,1-15,10,9,9,5,4,2,5,111.11,55.56,44.44,22.22,55.56
Heinrich Klaasen,1,1-15,237,156,156,135,21,30,45,151.92,86.54,13.46,19.23,28.85
Heinrich Klaasen,2,16-30,191,117,117,95,22,22,23,163.25,81.2,18.8,18.8,19.66
Heinrich Klaasen,3,31-45,66,41,41,29,12,7,10,160.98,70.73,29.27,17.07,24.39
Himmat Singh,1,1-15,69,53,53,41,12,8,19,130.19,77.36,22.64,15.09,35.85
Himmat Singh,2,16-30,21,15,15,12,3,2,4,140.0,80.0,20.0,13.33,26.67
Himmat Singh,3,31-45,2,1,1,1,0,0,0,200.0,100.0,0.0,0.0,0.0
Ishan Kishan,1,1-15,202,118,118,90,28,33,36,171.19,76.27,23.73,27.97,30.51
Ishan Kishan,2,16-30,145,76,76,62,14,19,15,190.79,81.58,18.42,25.0,19.74
Ishan Kishan,3,31-45,62,25,25,17,8,11,6,248.0,68.0,32.0,44.0,24.0
Jacob Bethell,1,1-15,61,46,46,27,19,10,20,132.61,58.7,41.3,21.74,43.48
Jacob Bethell,2,16-30,9,12,12,9,3,0,3,75.0,75.0,25.0,0.0,25.0
Jamie Overton,1,1-15,110,64,64,48,16,16,19,171.88,75.0,25.0,25.0,29.69
Jamie Overton,2,16-30,16,16,16,6,10,2,6,100.0,37.5,62.5,12.5,37.5
Jamie Overton,3,31-45,10,6,6,4,2,1,1,166.67,66.67,33.33,16.67,16.67
Jason Holder,1,1-15,47,34,34,25,9,5,13,138.24,73.53,26.47,14.71,38.24
Jasprit Bumrah,1,1-15,7,7,7,5,2,1,3,100.0,71.43,28.57,14.29,42.86
Jaydev Unadkat,1,1-15,4,3,3,3,0,0,1,133.33,100.0,0.0,0.0,33.33
Jitesh Sharma,1,1-15,80,66,66,51,15,11,32,121.21,77.27,22.73,16.67,48.48
Jitesh Sharma,2,16-30,2,5,5,2,3,0,3,40.0,40.0,60.0,0.0,60.0
Jofra Archer,1,1-15,19,21,21,12,9,2,10,90.48,57.14,42.86,9.52,47.62
Jos Buttler,1,1-15,249,150,150,119,31,39,53,166.0,79.33,20.67,26.0,35.33
Jos Buttler,2,16-30,93,69,69,54,15,13,24,134.78,78.26,21.74,18.84,34.78
Jos Buttler,3,31-45,6,10,10,6,4,1,7,60.0,60.0,40.0,10.0,70.0
Josh Hazlewood,1,1-15,0,1,1,0,1,0,1,0.0,0.0,100.0,0.0,100.0
Josh Inglis,1,1-15,57,20,20,18,2,11,5,285.0,90.0,10.0,55.0,25.0
Josh Inglis,2,16-30,40,15,15,10,5,8,3,266.67,66.67,33.33,53.33,20.0
Josh Inglis,3,31-45,1,3,3,2,1,0,2,33.33,66.67,33.33,0.0,66.67
KL Rahul,1,1-15,193,127,127,100,27,32,49,151.97,78.74,21.26,25.2,38.58
