player,line,length,runs,balls,known_control_balls,controlled_balls,uncontrolled_balls,boundaries,dots,dismissals,strike_rate,control_pct,false_shot_pct,boundary_pct,dot_pct
Abdul Samad,Down Leg,Full,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Abdul Samad,Down Leg,Short Of A Good Length,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Abdul Samad,On The Stumps,Full,8,5,5,4,1,1,1,1,160.0,80.0,20.0,20.0,20.0
Abdul Samad,On The Stumps,Good Length,8,9,9,8,1,0,2,1,88.89,88.89,11.11,0.0,22.22
Abdul Samad,On The Stumps,Short,6,2,2,2,0,1,0,0,300.0,100.0,0.0,50.0,0.0
Abdul Samad,On The Stumps,Short Of A Good Length,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Abdul Samad,On The Stumps,Yorker,1,1,1,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
Abdul Samad,Outside Offstump,Full,6,8,8,7,1,0,4,1,75.0,87.5,12.5,0.0,50.0
Abdul Samad,Outside Offstump,Full Toss,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Abdul Samad,Outside Offstump,Good Length,16,17,17,13,4,1,7,0,94.12,76.47,23.53,5.88,41.18
Abdul Samad,Outside Offstump,Short,7,7,7,5,2,1,3,1,100.0,71.43,28.57,14.29,42.86
Abdul Samad,Outside Offstump,Short Of A Good Length,14,9,9,7,2,3,5,0,155.56,77.78,22.22,33.33,55.56
Abdul Samad,Outside Offstump,Yorker,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Abdul Samad,Unknown,Unknown,0,2,0,0,0,0,2,1,0.0,,,0.0,100.0
Abhishek Sharma,Down Leg,Good Length,9,5,5,5,0,1,1,0,180.0,100.0,0.0,20.0,20.0
Abhishek Sharma,Down Leg,Short Of A Good Length,6,4,4,1,3,1,3,1,150.0,25.0,75.0,25.0,75.0
Abhishek Sharma,On The Stumps,Full,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Abhishek Sharma,On The Stumps,Good Length,9,7,7,7,0,1,2,0,128.57,100.0,0.0,14.29,28.57
Abhishek Sharma,On The Stumps,Short,6,1,1,1,0,1,0,0,600.0,100.0,0.0,100.0,0.0
Abhishek Sharma,On The Stumps,Short Of A Good Length,0,2,2,1,1,0,2,1,0.0,50.0,50.0,0.0,100.0
Abhishek Sharma,Outside Offstump,Full,4,2,2,1,1,1,1,1,200.0,50.0,50.0,50.0,50.0
Abhishek Sharma,Outside Offstump,Full Toss,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Abhishek Sharma,Outside Offstump,Good Length,1,4,4,2,2,0,3,0,25.0,50.0,50.0,0.0,75.0
Abhishek Sharma,Outside Offstump,Short Of A Good Length,6,1,1,1,0,1,0,0,600.0,100.0,0.0,100.0,0.0
Abhishek Sharma,Unknown,Unknown,133,51,0,0,0,23,13,3,260.78,,,45.1,25.49
Abhishek Sharma,Wide Outside Offstump,Full,6,1,1,1,0,1,0,0,600.0,100.0,0.0,100.0,0.0
Abhishek Sharma,Wide Outside Offstump,Short Of A Good Length,8,2,2,2,0,2,0,0,400.0,100.0,0.0,100.0,0.0
Aiden Markram,Down Leg,Short Of A Good Length,6,1,1,1,0,1,0,0,600.0,100.0,0.0,100.0,0.0
Aiden Markram,On The Stumps,Full,25,6,6,5,1,5,0,0,416.67,83.33,16.67,83.33,0.0
Aiden Markram,On The Stumps,Full Toss,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Aiden Markram,On The Stumps,Good Length,21,15,15,13,2,3,7,0,140.0,86.67,13.33,20.0,46.67
Aiden Markram,On The Stumps,Short Of A Good Length,6,3,3,3,0,1,0,0,200.0,100.0,0.0,33.33,0.0
Aiden Markram,Outside Offstump,Full,10,7,7,5,2,2,3,1,142.86,71.43,28.57,28.57,42.86
Aiden Markram,Outside Offstump,Good Length,16,17,17,13,4,3,10,1,94.12,76.47,23.53,17.65,58.82
Aiden Markram,Outside Offstump,Short,6,4,4,1,3,1,3,2,150.0,25.0,75.0,25.0,75.0
Aiden Markram,Outside Offstump,Short Of A Good Length,10,15,15,12,3,1,8,0,66.67,80.0,20.0,6.67,53.33
Aiden Markram,Unknown,Unknown,12,8,0,0,0,1,1,1,150.0,,,12.5,12.5
Aiden Markram,Wide Outside Offstump,Good Length,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Aiden Markram,Wide Outside Offstump,Short Of A Good Length,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Ajinkya Rahane,Down Leg,Full,13,4,4,4,0,2,0,0,325.0,100.0,0.0,50.0,0.0
Ajinkya Rahane,Down Leg,Good Length,5,4,4,3,1,0,0,0,125.0,75.0,25.0,0.0,0.0
Ajinkya Rahane,Down Leg,Short Of A Good Length,2,2,2,2,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Ajinkya Rahane,On The Stumps,Full,11,7,7,6,1,1,0,0,157.14,85.71,14.29,14.29,0.0
Ajinkya Rahane,On The Stumps,Full Toss,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Ajinkya Rahane,On The Stumps,Good Length,20,17,17,13,4,2,6,1,117.65,76.47,23.53,11.76,35.29
Ajinkya Rahane,On The Stumps,Short,12,2,2,2,0,2,0,0,600.0,100.0,0.0,100.0,0.0
Ajinkya Rahane,On The Stumps,Short Of A Good Length,6,9,9,8,1,0,3,1,66.67,88.89,11.11,0.0,33.33
Ajinkya Rahane,On The Stumps,Yorker,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Ajinkya Rahane,Outside Offstump,Full,8,6,6,5,1,1,2,1,133.33,83.33,16.67,16.67,33.33
Ajinkya Rahane,Outside Offstump,Full Toss,2,2,2,2,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Ajinkya Rahane,Outside Offstump,Good Length,46,28,28,22,6,7,10,1,164.29,78.57,21.43,25.0,35.71
Ajinkya Rahane,Outside Offstump,Short,9,6,6,5,1,1,2,0,150.0,83.33,16.67,16.67,33.33
Ajinkya Rahane,Outside Offstump,Short Of A Good Length,10,12,12,8,4,0,3,1,83.33,66.67,33.33,0.0,25.0
Ajinkya Rahane,Wide Outside Offstump,Full,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Ajinkya Rahane,Wide Outside Offstump,Good Length,6,1,1,1,0,1,0,0,600.0,100.0,0.0,100.0,0.0
Angkrish Raghuvanshi,Down Leg,Full,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Angkrish Raghuvanshi,Down Leg,Good Length,8,3,3,3,0,1,0,0,266.67,100.0,0.0,33.33,0.0
Angkrish Raghuvanshi,Down Leg,Short,5,2,2,2,0,1,0,0,250.0,100.0,0.0,50.0,0.0
Angkrish Raghuvanshi,Down Leg,Short Of A Good Length,2,2,2,2,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Angkrish Raghuvanshi,Down Leg,Yorker,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Angkrish Raghuvanshi,On The Stumps,Full,15,11,11,11,0,1,2,1,136.36,100.0,0.0,9.09,18.18
Angkrish Raghuvanshi,On The Stumps,Full Toss,5,3,3,3,0,1,1,0,166.67,100.0,0.0,33.33,33.33
Angkrish Raghuvanshi,On The Stumps,Good Length,19,19,19,12,7,1,11,1,100.0,63.16,36.84,5.26,57.89
Angkrish Raghuvanshi,On The Stumps,Short Of A Good Length,34,14,14,11,3,7,4,1,242.86,78.57,21.43,50.0,28.57
Angkrish Raghuvanshi,On The Stumps,Yorker,4,5,5,5,0,0,2,0,80.0,100.0,0.0,0.0,40.0
Angkrish Raghuvanshi,Outside Offstump,Full,36,11,11,9,2,7,2,0,327.27,81.82,18.18,63.64,18.18
Angkrish Raghuvanshi,Outside Offstump,Full Toss,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Angkrish Raghuvanshi,Outside Offstump,Good Length,21,22,22,17,5,3,12,1,95.45,77.27,22.73,13.64,54.55
Angkrish Raghuvanshi,Outside Offstump,Short,11,6,6,4,2,2,1,0,183.33,66.67,33.33,33.33,16.67
Angkrish Raghuvanshi,Outside Offstump,Short Of A Good Length,21,18,18,14,4,3,7,1,116.67,77.78,22.22,16.67,38.89
Angkrish Raghuvanshi,Outside Offstump,Yorker,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Angkrish Raghuvanshi,Wide Outside Offstump,Short Of A Good Length,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Aniket Verma,Down Leg,Yorker,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Aniket Verma,On The Stumps,Full,7,2,2,2,0,1,0,0,350.0,100.0,0.0,50.0,0.0
Aniket Verma,On The Stumps,Good Length,1,2,2,0,2,0,1,0,50.0,0.0,100.0,0.0,50.0
Aniket Verma,On The Stumps,Short Of A Good Length,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Aniket Verma,On The Stumps,Yorker,1,2,2,2,0,0,1,0,50.0,100.0,0.0,0.0,50.0
Aniket Verma,Outside Offstump,Full,0,1,1,0,1,0,1,1,0.0,0.0,100.0,0.0,100.0
Aniket Verma,Outside Offstump,Full Toss,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Aniket Verma,Outside Offstump,Good Length,13,5,5,5,0,2,1,0,260.0,100.0,0.0,40.0,20.0
Aniket Verma,Outside Offstump,Short,8,3,3,2,1,2,1,1,266.67,66.67,33.33,66.67,33.33
Aniket Verma,Outside Offstump,Short Of A Good Length,15,6,6,5,1,2,1,0,250.0,83.33,16.67,33.33,16.67
Aniket Verma,Outside Offstump,Yorker,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Aniket Verma,Unknown,Unknown,26,18,0,0,0,3,4,2,144.44,,,16.67,22.22
Aniket Verma,Wide Outside Offstump,Good Length,0,2,2,0,2,0,2,1,0.0,0.0,100.0,0.0,100.0
Anrich Nortje,Outside Offstump,Full,0,1,1,0,1,0,1,1,0.0,0.0,100.0,0.0,100.0
Anshul Kamboj,Down Leg,Good Length,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Anshul Kamboj,On The Stumps,Full,1,2,2,1,1,0,1,0,50.0,50.0,50.0,0.0,50.0
Anshul Kamboj,On The Stumps,Full Toss,1,1,1,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
Anshul Kamboj,On The Stumps,Good Length,1,2,2,1,1,0,1,0,50.0,50.0,50.0,0.0,50.0
Anshul Kamboj,On The Stumps,Short,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Anshul Kamboj,Outside Offstump,Full,2,2,2,1,1,0,0,0,100.0,50.0,50.0,0.0,0.0
Anshul Kamboj,Outside Offstump,Good Length,4,7,7,5,2,0,3,0,57.14,71.43,28.57,0.0,42.86
Anshul Kamboj,Outside Offstump,Short,7,2,2,1,1,1,0,0,350.0,50.0,50.0,50.0,0.0
Anshul Kamboj,Outside Offstump,Short Of A Good Length,6,4,4,1,3,1,1,0,150.0,25.0,75.0,25.0,25.0
Anshul Kamboj,Unknown,Unknown,13,8,0,0,0,1,1,0,162.5,,,12.5,12.5
Anukul Roy,Down Leg,Short Of A Good Length,2,2,2,2,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Anukul Roy,On The Stumps,Short Of A Good Length,0,2,2,1,1,0,2,1,0.0,50.0,50.0,0.0,100.0
Anukul Roy,Outside Offstump,Full,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Anukul Roy,Outside Offstump,Full Toss,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
