season,season_year,match_id,start_date,venue,innings,batting_team,opposition,player,own_15_ball_phase,phase_label,runs,balls,expected_runs,runs_above_expected,innings_runs,strike_rate,expected_sr,runs_above_expected_per_100,player_innings_ball_range
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,1,1-15,7,8,10.23,-3.23,7,87.5,127.84,-40.34,1-15
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Aniket Verma,1,1-15,37,15,20.86,16.14,37,246.67,139.07,107.6,1-15
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Aniket Verma,2,16-30,6,3,5.01,0.99,6,200.0,166.95,33.05,16-30
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,David Payne,1,1-15,6,5,6.08,-0.08,6,120.0,121.66,-1.66,1-15
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Harsh Dubey,1,1-15,3,3,3.64,-0.64,3,100.0,121.27,-21.27,1-15
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Harshal Patel,1,1-15,0,2,2.37,-2.37,0,0.0,118.57,-118.57,1-15
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Heinrich Klaasen,1,1-15,20,15,16.82,3.18,20,133.33,112.14,21.19,1-15
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Heinrich Klaasen,2,16-30,11,7,9.97,1.03,11,157.14,142.42,14.72,16-30
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,1,1-15,31,15,17.4,13.6,31,206.67,116.01,90.66,1-15
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,2,16-30,24,15,20.04,3.96,24,160.0,133.58,26.42,16-30
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,3,31-45,25,8,11.89,13.11,25,312.5,148.57,163.93,31-45
