season,season_year,match_id,start_date,venue,innings,batting_team,opposition,player,balls_faced,actual_runs,expected_runs,runs_above_expected,strike_rate
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,8,7,14.38,-7.38,87.5
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Aniket Verma,18,43,25.87,17.13,238.89
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,David Payne,5,6,6.08,-0.08,120.0
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Harsh Dubey,3,3,4.85,-1.85,100.0
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Harshal Patel,2,0,2.37,-2.37,0.0
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Heinrich Klaasen,22,31,26.79,4.21,140.91
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ishan Kishan,38,80,49.32,30.68,210.53
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Jaydev Unadkat,3,4,3.74,0.26,133.33
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Nitish Kumar Reddy,6,1,6.69,-5.69,16.67
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Salil Arora,6,9,7.53,1.47,150.0
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Travis Head,9,11,11.32,-0.32,122.22
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",2,Royal Challengers Bengaluru,Sunrisers Hyderabad,Devdutt Padikkal,26,61,36.71,24.29,234.62
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",2,Royal Challengers Bengaluru,Sunrisers Hyderabad,Jitesh Sharma,1,0,1.33,-1.33,0.0
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",2,Royal Challengers Bengaluru,Sunrisers Hyderabad,Phil Salt,7,8,8.55,-0.55,114.29
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",2,Royal Challengers Bengaluru,Sunrisers Hyderabad,Rajat Patidar,12,31,21.3,9.7,258.33
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",2,Royal Challengers Bengaluru,Sunrisers Hyderabad,Tim David,10,16,18.27,-2.27,160.0
2026,2026,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",2,Royal Challengers Bengaluru,Sunrisers Hyderabad,Virat Kohli,38,69,61.09,7.91,181.58
2026,2026,1527675,2026-03-29,"Wankhede Stadium, Mumbai",1,Kolkata Knight Riders,Mumbai Indians,Ajinkya Rahane,40,67,63.95,3.05,167.5
2026,2026,1527675,2026-03-29,"Wankhede Stadium, Mumbai",1,Kolkata Knight Riders,Mumbai Indians,Angkrish Raghuvanshi,29,51,49.52,1.48,175.86
2026,2026,1527675,2026-03-29,"Wankhede Stadium, Mumbai",1,Kolkata Knight Riders,Mumbai Indians,Cameron Green,10,18,12.72,5.28,180.0
2026,2026,1527675,2026-03-29,"Wankhede Stadium, Mumbai",1,Kolkata Knight Riders,Mumbai Indians,Finn Allen,17,37,26.48,10.52,217.65
