season,season_year,player,matches,innings_batted,balls_faced,actual_runs,expected_runs,runs_above_expected,known_control_balls,controlled_balls,uncontrolled_balls,strike_rate,control_pct,false_shot_pct,runs_above_expected_per_ball,runs_above_expected_per_30_balls,runs_above_expected_per_100_balls
2026,2026,Vaibhav Sooryavanshi,5,5,76,200,115.39,84.61,75,57,18,263.16,76.0,24.0,1.11,33.4,111.33
2026,2026,Ishan Kishan,5,5,112,213,153.37,59.63,51,39,12,190.18,76.47,23.53,0.53,15.97,53.24
2026,2026,Rajat Patidar,6,6,108,230,170.82,59.18,95,74,21,212.96,77.89,22.11,0.55,16.44,54.8
2026,2026,Priyansh Arya,4,4,48,118,70.74,47.26,19,14,5,245.83,73.68,26.32,0.98,29.54,98.45
2026,2026,Devdutt Padikkal,5,5,86,153,117.43,35.57,74,53,21,177.91,71.62,28.38,0.41,12.41,41.37
2026,2026,Tim David,6,6,85,173,138.32,34.68,77,60,17,203.53,77.92,22.08,0.41,12.24,40.8
2026,2026,Shreyas Iyer,4,4,108,203,174.15,28.85,40,29,11,187.96,72.5,27.5,0.27,8.01,26.72
2026,2026,Phil Salt,6,6,120,202,174.92,27.08,112,85,27,168.33,75.89,24.11,0.23,6.77,22.56
2026,2026,Abhishek Sharma,5,5,60,129,103.4,25.6,31,24,7,215.0,77.42,22.58,0.43,12.8,42.67
2026,2026,Sarfaraz Khan,4,4,67,122,97.35,24.65,67,43,24,182.09,64.18,35.82,0.37,11.04,36.79
2026,2026,Sanju Samson,5,5,107,185,160.69,24.31,51,32,19,172.9,62.75,37.25,0.23,6.82,22.72
2026,2026,Prabhsimran Singh,4,4,122,211,186.86,24.14,58,42,16,172.95,72.41,27.59,0.2,5.94,19.79
2026,2026,Jos Buttler,5,5,126,201,176.87,24.13,126,103,23,159.52,81.75,18.25,0.19,5.75,19.15
2026,2026,Ayush Mhatre,5,5,100,171,147.15,23.85,64,41,23,171.0,64.06,35.94,0.24,7.15,23.85
2026,2026,Finn Allen,5,5,42,81,59.55,21.45,42,24,18,192.86,57.14,42.86,0.51,15.32,51.08
2026,2026,Naman Dhir,5,5,69,109,89.37,19.63,17,11,6,157.97,64.71,35.29,0.28,8.54,28.46
2026,2026,KL Rahul,5,5,100,168,149.05,18.95,87,75,12,168.0,86.21,13.79,0.19,5.69,18.95
2026,2026,Sameer Rizvi,5,5,111,168,149.36,18.64,51,37,14,151.35,72.55,27.45,0.17,5.04,16.79
2026,2026,Quinton de Kock,1,1,60,112,94.18,17.82,0,0,0,186.67,,,0.3,8.91,29.69
2026,2026,Dhruv Jurel,5,5,99,176,160.39,15.61,96,81,15,177.78,84.38,15.62,0.16,4.73,15.77
2026,2026,Rohit Sharma,4,4,83,137,122.09,14.91,57,48,9,165.06,84.21,15.79,0.18,5.39,17.96
2026,2026,Nitish Kumar Reddy,5,5,77,124,109.64,14.36,63,50,13,161.04,79.37,20.63,0.19,5.59,18.64
2026,2026,Sherfane Rutherford,4,4,51,102,88.39,13.61,39,25,14,200.0,64.1,35.9,0.27,8.0,26.68
2026,2026,Angkrish Raghuvanshi,6,6,121,190,176.52,13.48,121,97,24,157.02,80.17,19.83,0.11,3.34,11.14
2026,2026,Tushar Deshpande,1,1,11,25,12.38,12.62,0,0,0,227.27,,,1.15,34.43,114.77
2026,2026,Donovan Ferreira,2,2,47,70,57.72,12.28,3,2,1,148.94,66.67,33.33,0.26,7.84,26.13
2026,2026,Mukul Choudhary,5,5,85,127,115.74,11.26,57,37,20,149.41,64.91,35.09,0.13,3.97,13.24
2026,2026,Jamie Overton,3,3,58,87,76.03,10.97,58,39,19,150.0,67.24,32.76,0.19,5.67,18.91
2026,2026,Aiden Markram,5,5,79,120,109.5,10.5,71,56,15,151.9,78.87,21.13,0.13,3.99,13.29
2026,2026,Suryakumar Yadav,5,5,70,106,95.78,10.22,33,28,5,151.43,84.85,15.15,0.15,4.38,14.6
2026,2026,Ayush Badoni,5,5,81,113,102.94,10.06,57,46,11,139.51,80.7,19.3,0.12,3.73,12.42
2026,2026,Ryan Rickelton,5,5,88,137,128.63,8.37,68,51,17,155.68,75.0,25.0,0.1,2.85,9.51
2026,2026,Aniket Verma,5,5,41,70,61.7,8.3,27,18,9,170.73,66.67,33.33,0.2,6.07,20.24
