phase_group,batter,runs,balls,raw_sr,leave_one_out_league_sr,sr_points_above_league_phase,runs_above_league_phase_rate,innings,matches,first_date,last_date
Death last 5,Abdul Samad,18,15,120.0,164.49,-44.49,-6.67,3,3,2026-04-01,2026-04-12
Death last 5,Abhishek Sharma,20,17,117.65,164.55,-46.9,-7.97,1,1,2026-04-21,2026-04-21
Death last 5,Abishek Porel,4,3,133.33,164.23,-30.89,-0.93,1,1,2026-04-27,2026-04-27
Death last 5,Aiden Markram,36,16,225.0,163.74,61.26,9.8,1,1,2026-04-19,2026-04-19
Death last 5,Akeal Hosein,2,2,100.0,164.24,-64.24,-1.28,1,1,2026-04-23,2026-04-23
Death last 5,Angkrish Raghuvanshi,27,16,168.75,164.15,4.6,0.74,2,2,2026-03-29,2026-05-03
Death last 5,Aniket Verma,63,33,190.91,163.78,27.13,8.95,5,5,2026-03-28,2026-04-25
Death last 5,Anrich Nortje,0,1,0.0,164.26,-164.26,-1.64,1,1,2026-04-01,2026-04-01
Death last 5,Anshul Kamboj,39,30,130.0,164.65,-34.65,-10.4,3,3,2026-03-30,2026-04-18
Death last 5,Anukul Roy,26,12,216.67,163.9,52.77,6.33,2,2,2026-04-14,2026-04-19
Death last 5,Arshad Khan,8,5,160.0,164.2,-4.2,-0.21,1,1,2026-05-03,2026-05-03
Death last 5,Arshdeep Singh,1,1,100.0,164.21,-64.21,-0.64,1,1,2026-05-03,2026-05-03
Death last 5,Ashok Sharma,0,1,0.0,164.26,-164.26,-1.64,1,1,2026-04-04,2026-04-04
Death last 5,Ashutosh Sharma,39,25,156.0,164.28,-8.28,-2.07,2,2,2026-04-21,2026-05-01
Death last 5,Ashwani Kumar,1,6,16.67,164.59,-147.92,-8.88,1,1,2026-04-23,2026-04-23
Death last 5,Auqib Nabi,0,1,0.0,164.26,-164.26,-1.64,1,1,2026-04-11,2026-04-11
Death last 5,Avesh Khan,6,6,100.0,164.36,-64.36,-3.86,3,3,2026-04-09,2026-04-15
Death last 5,Axar Patel,4,6,66.67,164.45,-97.78,-5.87,2,2,2026-04-18,2026-04-21
Death last 5,Ayush Badoni,24,13,184.62,164.07,20.55,2.67,2,2,2026-04-15,2026-04-26
Death last 5,Ayush Mhatre,6,7,85.71,164.43,-78.72,-5.51,1,1,2026-04-11,2026-04-11
Death last 5,Bhuvneshwar Kumar,23,21,109.52,164.71,-55.18,-11.59,3,3,2026-04-10,2026-04-30
Death last 5,Brijesh Sharma,1,3,33.33,164.36,-131.03,-3.93,1,1,2026-04-19,2026-04-19
Death last 5,Cameron Green,32,26,123.08,164.67,-41.6,-10.82,3,3,2026-04-09,2026-05-03
Death last 5,Cooper Connolly,23,11,209.09,163.96,45.13,4.96,1,1,2026-03-31,2026-03-31
Death last 5,Corbin Bosch,11,4,275.0,163.99,111.01,4.44,1,1,2026-04-04,2026-04-04
Death last 5,David Miller,73,35,208.57,163.47,45.1,15.78,4,4,2026-04-04,2026-04-25
Death last 5,David Payne,6,5,120.0,164.29,-44.29,-2.21,1,1,2026-03-28,2026-03-28
Death last 5,Dewald Brevis,15,8,187.5,164.1,23.4,1.87,1,1,2026-04-14,2026-04-14
Death last 5,Dhruv Jurel,54,29,186.21,163.89,22.31,6.47,2,2,2026-04-04,2026-04-10
Death last 5,Digvesh Rathi,2,5,40.0,164.47,-124.47,-6.22,2,2,2026-04-15,2026-04-22
Death last 5,Donovan Ferreira,113,53,213.21,162.99,50.22,26.62,6,6,2026-04-04,2026-05-01
Death last 5,Dushmantha Chameera,0,3,0.0,164.41,-164.41,-4.93,1,1,2026-04-27,2026-04-27
Death last 5,Eshan Malinga,2,6,33.33,164.54,-131.21,-7.87,1,1,2026-05-03,2026-05-03
Death last 5,George Linde,31,21,147.62,164.34,-16.73,-3.51,3,3,2026-04-12,2026-04-26
Death last 5,Glenn Phillips,31,23,134.78,164.49,-29.71,-6.83,2,2,2026-04-08,2026-04-17
Death last 5,Hardik Pandya,79,56,141.07,164.78,-23.71,-13.28,5,5,2026-03-29,2026-05-02
Death last 5,Harsh Dubey,13,9,144.44,164.27,-19.82,-1.78,4,4,2026-03-28,2026-04-11
Death last 5,Harshal Patel,10,9,111.11,164.4,-53.29,-4.8,3,3,2026-03-28,2026-05-03
Death last 5,Heinrich Klaasen,149,83,179.52,163.59,15.93,13.22,8,8,2026-04-02,2026-04-29
Death last 5,Himmat Singh,20,11,181.82,164.1,17.72,1.95,2,2,2026-04-19,2026-04-26
Death last 5,Ishan Kishan,12,4,300.0,163.94,136.06,5.44,2,2,2026-03-28,2026-05-03
Death last 5,Jamie Overton,89,56,158.93,164.32,-5.39,-3.02,6,6,2026-03-30,2026-04-26
Death last 5,Jason Holder,28,17,164.71,164.18,0.52,0.09,2,2,2026-04-24,2026-05-03
Death last 5,Jasprit Bumrah,2,5,40.0,164.47,-124.47,-6.22,1,1,2026-04-23,2026-04-23
Death last 5,Jaydev Unadkat,4,3,133.33,164.23,-30.89,-0.93,1,1,2026-03-28,2026-03-28
Death last 5,Jitesh Sharma,21,21,100.0,164.8,-64.8,-13.61,2,2,2026-04-12,2026-04-18
Death last 5,Jofra Archer,14,15,93.33,164.67,-71.34,-10.7,5,5,2026-04-04,2026-05-01
Death last 5,Jos Buttler,21,16,131.25,164.43,-33.18,-5.31,4,4,2026-03-31,2026-04-26
Death last 5,Josh Hazlewood,0,1,0.0,164.26,-164.26,-1.64,1,1,2026-04-30,2026-04-30
Death last 5,KL Rahul,68,30,226.67,163.33,63.34,19.0,3,3,2026-04-08,2026-05-01
Death last 5,Kagiso Rabada,23,17,135.29,164.41,-29.11,-4.95,2,2,2026-04-04,2026-04-20
Death last 5,Kartik Sharma,38,26,146.15,164.4,-18.25,-4.74,3,3,2026-04-23,2026-05-02
Death last 5,Kartik Tyagi,7,7,100.0,164.39,-64.39,-4.51,2,2,2026-04-02,2026-04-17
Death last 5,Krish Bhagat,6,13,46.15,164.88,-118.73,-15.43,2,2,2026-04-23,2026-05-02
Death last 5,Krunal Pandya,35,22,159.09,164.24,-5.15,-1.13,2,2,2026-04-18,2026-04-24
Death last 5,Kuldeep Yadav,6,13,46.15,164.88,-118.73,-15.43,4,4,2026-04-08,2026-04-27
Death last 5,Liam Livingstone,1,5,20.0,164.51,-144.51,-7.23,1,1,2026-04-18,2026-04-18
Death last 5,Lungi Ngidi,3,6,50.0,164.5,-114.5,-6.87,2,2,2026-04-11,2026-04-21
Death last 5,M Shahrukh Khan,7,8,87.5,164.46,-76.96,-6.16,2,2,2026-03-31,2026-04-17
Death last 5,Marco Jansen,29,21,138.1,164.44,-26.34,-5.53,3,3,2026-03-31,2026-05-03
Death last 5,Marcus Stoinis,117,50,234.0,162.57,71.43,35.71,5,5,2026-04-03,2026-05-03
Death last 5,Matt Henry,2,5,40.0,164.47,-124.47,-6.22,2,2,2026-03-30,2026-04-05
Death last 5,Matthew Short,0,1,0.0,164.26,-164.26,-1.64,1,1,2026-04-18,2026-04-18
Death last 5,Mayank Yadav,5,5,100.0,164.33,-64.33,-3.22,1,1,2026-04-22,2026-04-22
Death last 5,Mitchell Marsh,6,3,200.0,164.14,35.86,1.08,1,1,2026-04-22,2026-04-22
Death last 5,Mitchell Santner,26,19,136.84,164.42,-27.58,-5.24,2,2,2026-04-04,2026-04-12
Death last 5,Mohammed Shami,30,20,150.0,164.31,-14.31,-2.86,6,6,2026-04-01,2026-04-26
Death last 5,Mohammed Siraj,0,3,0.0,164.41,-164.41,-4.93,1,1,2026-04-20,2026-04-20
Death last 5,Mohsin Khan,0,4,0.0,164.48,-164.48,-6.58,2,2,2026-04-01,2026-04-22
Death last 5,Mukul Choudhary,107,69,155.07,164.48,-9.41,-6.49,7,7,2026-04-05,2026-04-26
Death last 5,Naman Dhir,26,19,136.84,164.42,-27.58,-5.24,4,4,2026-03-29,2026-05-02
Death last 5,Nandre Burger,3,5,60.0,164.42,-104.42,-5.22,1,1,2026-04-13,2026-04-13
Death last 5,Nehal Wadhera,21,14,150.0,164.28,-14.28,-2.0,3,3,2026-04-03,2026-04-19
Death last 5,Nitish Kumar Reddy,74,35,211.43,163.43,48.0,16.8,6,6,2026-04-02,2026-04-29
Death last 5,Nitish Rana,19,8,237.5,163.92,73.58,5.89,1,1,2026-04-25,2026-04-25
Death last 5,Noor Ahmad,9,9,100.0,164.45,-64.45,-5.8,2,2,2026-04-05,2026-04-18
